NAME	PREFIX	SERIES	LEVEL	MAGIC_ID	MAG_P1_MIN	MAG_P1_MAX	MAG_P2_MIN	MAG_P2_MAX	MAG_P3_MIN	MAG_P3_MAX	BASE_VALUE	SWORD	BLADE	WAND	SPEAR	HAMMER	DUALBLADES	DARTS	KNIFE	CROSSBOW	ARMOR	RING	NECKLACE	AMULET	BOOT	BELT	HELM	CUFF	SACHET	PENDANT	METAL	WOOD	WATER	FIRE	EARTH	REMARK
T¨ng hiÖu qu¶ s¸t th­¬ng	1		1	126	100	100	-1	-1	6	6	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	0	0	0	0	0	0	0	0	0	0	80	65	100	30	30	
T¨ng hiÖu qu¶ s¸t th­¬ng	1		2	126	100	100	-1	-1	6	6	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	0	0	0	0	0	0	0	0	0	0	80	65	100	30	30	
T¨ng hiÖu qu¶ s¸t th­¬ng	1		3	126	100	100	-1	-1	6	6	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	0	0	0	0	0	0	0	0	0	0	80	65	100	30	30	
T¨ng hiÖu qu¶ s¸t th­¬ng	1		4	126	100	100	-1	-1	6	6	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	0	0	0	0	0	0	0	0	0	0	80	65	100	30	30	
T¨ng hiÖu qu¶ s¸t th­¬ng	1		5	126	100	100	-1	-1	6	6	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	0	0	0	0	0	0	0	0	0	0	80	65	100	30	30	
T¨ng hiÖu qu¶ s¸t th­¬ng	1		6	126	100	100	-1	-1	6	6	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	0	0	0	0	0	0	0	0	0	0	80	65	100	30	30	
T¨ng hiÖu qu¶ s¸t th­¬ng	1		7	126	100	100	-1	-1	6	6	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	0	0	0	0	0	0	0	0	0	0	80	65	100	30	30	
T¨ng hiÖu qu¶ s¸t th­¬ng	1		8	126	100	100	-1	-1	6	6	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	0	0	0	0	0	0	0	0	0	0	80	65	100	30	30	
T¨ng hiÖu qu¶ s¸t th­¬ng	1		9	126	100	100	-1	-1	6	6	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	0	0	0	0	0	0	0	0	0	0	80	65	100	30	30	
T¨ng hiÖu qu¶ s¸t th­¬ng	1		10	126	100	100	-1	-1	6	6	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	5000000000	0	0	0	0	0	0	0	0	0	0	80	65	100	30	30	
