MapId	X	Y	NpcRes	NpcName	NpcScript	TaskId
11	3367	5120	1597	KiÕm T©m H¶i §­êng	\script\activitysys\config\32\gatherobj.lua	1
11	3376	5119	1597	KiÕm T©m H¶i §­êng	\script\activitysys\config\32\gatherobj.lua	1
11	3367	5129	1597	KiÕm T©m H¶i §­êng	\script\activitysys\config\32\gatherobj.lua	1
11	3352	5125	1597	KiÕm T©m H¶i §­êng	\script\activitysys\config\32\gatherobj.lua	1
162	1778	2974	1598	HiÖp H­¬ng Th¶o	\script\activitysys\config\32\gatherobj.lua	2
162	1788	2974	1598	HiÖp H­¬ng Th¶o	\script\activitysys\config\32\gatherobj.lua	2
162	1794	2960	1598	HiÖp H­¬ng Th¶o	\script\activitysys\config\32\gatherobj.lua	2
162	1798	2952	1598	HiÖp H­¬ng Th¶o	\script\activitysys\config\32\gatherobj.lua	2
80	1862	3184	1599	T×nh NghÜa Kim Lan	\script\activitysys\config\32\gatherobj.lua	3
80	1857	3188	1599	T×nh NghÜa Kim Lan	\script\activitysys\config\32\gatherobj.lua	3
80	1879	3188	1599	T×nh NghÜa Kim Lan	\script\activitysys\config\32\gatherobj.lua	3
80	1878	3201	1599	T×nh NghÜa Kim Lan	\script\activitysys\config\32\gatherobj.lua	3
1	1483	3476	1600	Duyªn Tr­êng Thanh Liªn	\script\activitysys\config\32\gatherobj.lua	4
1	1487	3485	1600	Duyªn Tr­êng Thanh Liªn	\script\activitysys\config\32\gatherobj.lua	4
1	1495	3478	1600	Duyªn Tr­êng Thanh Liªn	\script\activitysys\config\32\gatherobj.lua	4
1	1497	3489	1600	Duyªn Tr­êng Thanh Liªn	\script\activitysys\config\32\gatherobj.lua	4
78	1641	3422	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
78	1646	3422	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
78	1641	3428	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
78	1646	3428	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
78	1641	3435	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
78	1646	3435	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
78	1641	3441	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
78	1646	3441	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
78	1641	3448	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
78	1646	3448	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
11	3252	5260	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
11	3258	5260	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
11	3252	5268	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
11	3258	5268	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
11	3252	5274	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
11	3258	5274	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
11	3252	5280	1597	Ng«i Sao H¹nh Phóc	\script\global\pgaming\saohanhphuc\gatherobj.lua	1
